Prompt,Response
"How can I filter data by age range?, Can I select specific age groups in the data?, Is there a way to view data for children or adults only?, How do I search for data based on different age categories?","To filter data by sex, click on the fingerprint icon at the top right-hand side of the page. You can then choose from options like male, female, or all."
"How can I filter data by age group?, Is it possible to select data for a specific age range?, Can I view data based on different age categories?, How do I search for data by age?","To filter data by age groups, click on the fingerprint icon located at the top right-hand side of the page. From there, you can adjust the age groups from 0 to 24."
"How can I filter data based on a specific date?, Is there an option to select data by year or date range?, How do I search for data from a particular year?, Can I view data collected in a certain time period?","To filter data by date, go to the top right-hand side of the page and click on the calendar symbol, which allows you to choose the collection year."
"How can I filter data by SA2, SA3, or SA4 areas?, Is there an option to choose a region using SA2, SA3, or SA4?, Can I select a specific region based on statistical areas?, How do I search for data by SA2, SA3, or SA4 regions?","To filter data by statistical areas, click on the map symbol at the top right-hand side of the page. This lets you choose between SA2, SA3, and SA4. If you want to know what these areas stand for, feel free to ask!"
"Is there a video guide that shows how to use the Atlas?, Where can I watch a tutorial for navigating the Atlas?, How can I find a video on using the Atlas?, Is there a step-by-step video guide for the Atlas available?","Yes, you can find the video guide and other resources at htpps://australianchildatlas.com/acywa-resources."
"Where can I find explanations of the themes instead of the data?, Is there a place to see the definitions of themes?, How do I find descriptions of themes rather than the actual data?, Can I view the meaning of themes without looking at the data?","On the home page, check the 'Indicators' section, which contains all the themes. If you need definitions and explanations of what these themes mean (rather than finding the data), visit htpps://australianchildatlas.com/themes where you’ll find detailed descriptions."
"How do I choose a specific area or region?, Is there a way to filter data by region?, How can I select data for a particular geographic location?, Can I search for data from a specific region or area?","To select a region, click on the map and choose the specific region you are looking for."
"How can I search for data on family violence offences?, Is there a way to find statistics on family assault cases?, Where do I locate information on family assault incidents?, Can I access data related to family-related assaults?","Start by selecting the 'Valued, loved and safe' category. Then click on 'Assault offences (WA only)' and choose 'Assault (Family) offences (rate per 10,000).'"
"Where can I find statistics on people involved in family-related incidents?, How do I check the number of people in cases related to families?, Can I view data on individuals involved in family-related issues?, How do I see information on people involved in family situations?","Start by going to the themes section. Then, go to the 'Valued, loved and safe' category, select 'Assault offences (WA only),' and choose 'Assault (Family) offenders (rate per 10,000)"
"Where can I find the total number of incidents?, How do I see the total count of offences?, Is there a way to check the overall number of cases?, How can I view the total amount of reported offences?","Start by going to the themes section. Then select the 'Valued, loved and safe' category, click on 'Assault offences (WA only),' and choose 'Total offences (rate per 10,000)."
"How can I search for incidents not related to families?, Where can I find information on issues outside of family-related cases?, How do I locate data on events that don't involve families?, Can I check statistics for cases that aren't family-related?","Start by going to the themes section. Navigate to the 'Valued, loved and safe' category, select 'Assault offences (WA only),' and then choose 'Assault (Non-Family) offences (rate per 10,000)."
"How can I find the number of children not living with their families?, Where do I look for data on kids in care outside of their homes?, How do I find information on children placed in care?, Can I check the statistics for children not living with parents or guardians?","Start by going to the themes section. Then select the 'Valued, loved and safe' category, click on 'Child protection,' and choose 'Children admitted to out of home care (N).'"
